node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[5,3]	0.2104	0.5197	-0.8247	1.2147	1.001	27000
LOR[6,3]	0.5887	0.467	-0.3565	1.464	1.001	27000
LOR[7,3]	0.1927	0.4576	-0.7254	1.0625	1.001	20000
LOR[8,3]	0.1188	0.4512	-0.7936	0.9743	1.0012	7300
LOR[5,4]	-0.1794	0.3758	-0.9245	0.5468	1.0013	5200
LOR[6,4]	0.1989	0.3694	-0.5457	0.8999	1.0016	2900
LOR[7,4]	-0.1971	0.3137	-0.8333	0.3884	1.0011	16000
LOR[8,4]	-0.271	0.3027	-0.8933	0.2917	1.001	27000
LOR[6,5]	0.3783	0.3799	-0.3719	1.1102	1.001	19000
LOR[7,5]	-0.0177	0.3229	-0.6624	0.6039	1.0011	10000
LOR[8,5]	-0.0917	0.3161	-0.7202	0.5133	1.0016	3200
LOR[7,6]	-0.396	0.2878	-0.9486	0.1726	1.0017	2800
LOR[8,6]	-0.47	0.273	-1.0081	0.0696	1.0025	1300
LOR[8,7]	-0.074	0.1828	-0.4405	0.2806	1.0013	5700
LOR[2,1]	-0.9614	0.5067	-1.9047	0.062	1.0013	5400
LOR[3,1]	-0.703	0.4666	-1.5993	0.2248	1.0017	2700
LOR[4,1]	-0.292	0.3015	-0.857	0.3276	1.0018	2400
LOR[5,1]	-0.4706	0.3076	-1.0529	0.1415	1.0012	7200
LOR[6,1]	-0.0942	0.2756	-0.6429	0.4325	1.0034	820
LOR[7,1]	-0.4708	0.1821	-0.8354	-0.1208	1.0055	440
LOR[8,1]	-0.5432	0.1631	-0.8793	-0.2393	1.002	1800
LOR[3,2]	0.2584	0.5448	-0.8367	1.2996	1.001	27000
LOR[4,2]	0.6694	0.5503	-0.4422	1.7167	1.0009	27000
LOR[5,2]	0.4909	0.5615	-0.6448	1.5507	1.0013	6300
LOR[6,2]	0.8672	0.5098	-0.1677	1.8119	1.0014	4300
LOR[7,2]	0.4906	0.5012	-0.5327	1.4159	1.001	27000
LOR[8,2]	0.4183	0.4994	-0.5964	1.3347	1.0011	14000
LOR[4,3]	0.411	0.5161	-0.6146	1.4103	1.001	27000
LOR[5,3]	0.2325	0.5258	-0.8036	1.2505	1.0015	3600
LOR[6,3]	0.6088	0.4742	-0.3446	1.4982	1.0015	3600
LOR[7,3]	0.2322	0.4615	-0.697	1.1043	1.001	27000
LOR[8,3]	0.1599	0.458	-0.7604	1.0301	1.0013	6000
LOR[5,4]	-0.1785	0.3791	-0.9346	0.5625	1.0015	3300
LOR[6,4]	0.1978	0.3668	-0.5318	0.8896	1.0019	2200
LOR[7,4]	-0.1788	0.3148	-0.83	0.4066	1.0011	15000
LOR[8,4]	-0.2512	0.3094	-0.8916	0.3201	1.0012	7100
LOR[6,5]	0.3764	0.3795	-0.3736	1.1026	1.0015	3300
LOR[7,5]	-3e-04	0.3219	-0.6374	0.6107	1.0025	1300
LOR[8,5]	-0.0726	0.3158	-0.7082	0.5161	1.0011	12000
LOR[7,6]	-0.3766	0.2881	-0.942	0.1843	1.0029	1000
LOR[8,6]	-0.449	0.2726	-0.9852	0.0802	1.002	1900
